Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),8.73,6.84,9.53,1117.31,6.84,6.84,6.85,8.57,9.31,9.35,9.44,9.44,9.53,1.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,16384.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.11,0.00,86.23,142.48,0.00,0.00,0.00,0.00,0.00,0.35,1.85,2.01,2.20,7.59
HTTP Connection Overhead (ms),1.11,0.00,86.23,142.48,0.00,0.00,0.00,0.00,0.00,0.35,1.85,2.01,2.20,7.59
HTTP Connection Reused (ratio),0.75,0.00,1.00,96.00,0.00,0.00,0.00,0.75,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),34.30,33.95,34.41,4391.02,34.01,34.20,34.23,34.28,34.32,34.35,34.37,34.39,34.40,0.07
HTTP Data Sent (KB),0.60,0.43,0.66,76.93,0.52,0.55,0.56,0.58,0.60,0.62,0.64,0.65,0.66,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14925.96,13430.39,18703.53,1910522.48,13431.29,13554.07,13554.80,13683.13,13741.31,15024.78,18675.17,18702.15,18703.25,2143.10
HTTP Receiving (ms),14450.48,13268.91,18354.04,1849660.89,13269.30,13271.18,13273.56,13367.19,13454.06,13529.36,18349.33,18349.82,18350.16,2012.22
HTTP Sending (ms),1.42,0.19,86.62,181.60,0.20,0.21,0.22,0.25,0.28,0.71,2.31,2.44,2.84,7.61
HTTP Total Time (ms),14927.07,13432.20,18703.53,1910664.96,13433.02,13555.73,13556.93,13683.59,13741.31,15024.78,18675.17,18702.15,18703.25,2142.40
HTTP Waiting (TTFB) (ms),474.06,134.62,5196.87,60680.00,135.36,192.86,205.91,214.12,279.32,385.75,413.82,416.05,5193.06,954.62
Input Sequence Length (tokens),120.00,120.00,120.00,15360.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00
Inter Chunk Latency (ms),113.78,84.84,4957.01,1849658.76,94.29,95.50,96.23,97.76,99.98,110.76,124.78,137.60,141.57,197.69
Inter Token Latency (ms),113.80,104.48,144.52,14565.93,104.48,104.50,104.52,105.25,106.20,106.53,144.48,144.49,144.49,15.84
OSL Mismatch Diff % (%),-0.01,-1.56,0.00,-1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Output Sequence Length (tokens),127.98,126.00,128.00,16382.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Count (tokens),127.98,126.00,128.00,16382.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Throughput Per User (tokens/sec/user),8.93,6.92,9.57,1143.34,6.92,6.92,6.92,9.39,9.42,9.50,9.57,9.57,9.57,1.04
Prefill Throughput Per User (tokens/sec/user),440.72,23.09,875.43,56411.75,23.11,288.16,289.66,310.79,428.95,528.39,580.44,587.79,869.61,157.13
Request Latency (ms),14926.09,13430.60,18703.63,1910539.10,13431.49,13554.27,13554.99,13683.25,13741.41,15024.86,18675.28,18702.25,18703.34,2143.08
Time to First Output Token (ms),475.63,137.08,5197.24,60880.33,137.99,204.16,206.74,227.35,279.75,386.12,414.28,416.44,5193.40,954.33
Time to First Token (ms),475.63,137.08,5197.24,60880.33,137.99,204.16,206.74,227.35,279.75,386.12,414.28,416.44,5193.40,954.33
Time to Second Token (ms),451.78,94.32,4949.97,57828.06,97.50,98.09,98.42,99.33,101.48,135.25,143.40,4948.62,4949.73,1236.90

Metric,Value
Benchmark Duration (sec),60.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),273.04
Request Count,128.00
Request Throughput (requests/sec),2.13
Total Input Sequence Length (tokens),15360.00
Total Output Sequence Length (tokens),16382.00
Total Output Tokens (tokens),16382.00
Total Token Throughput (tokens/sec),529.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
